,1,2,3,4,5
137,2,0,110.261111,0.92,3506.84
138,1,0,109.977778,0.93,3135.76
139,1,0,109.983333,0.89,3029.65
140,1,0,109.638889,0.92,2947.68
141,1,0,109.472222,0.89,2836.21
142,1,0,109.355556,0.86,2745.21
143,2,0,109.377778,0.89,3154.87
144,1,0,108.288889,0.83,2318.18
145,2,0,108.755556,0.83,2562.49
146,1,0,109.222222,0.85,2689.28
147,1,0,107.733333,0.95,2300.5
148,1,0,108.772222,0.89,2573.61
149,1,0,110.822222,0.82,3505.97
150,1,0,113.772222,0.72,4216.5
151,1,0,116.016667,0.67,4761.11
152,1,0,117.144444,0.54,4699.64
153,1,0,117.8,0.55,4911.02
154,1,0,117.333333,0.51,4658.85
155,1,0,118.877778,0.47,4939.56
156,1,0,118.911111,0.46,4914.62
157,1,0,115.388889,0.6,4382.76
158,2,0,115.55,0.63,4511.68
159,2,0,114.255556,0.69,4288.36
160,2,0,113.144444,0.7,3977.51
161,2,0,111.55,0.77,3638.94
162,2,0,111.183333,0.76,3503.51
163,1,0,110.116667,0.79,3223.37
164,2,0,110.2,0.77,3213.61
165,2,0,109.555556,0.8,2948.57
166,2,0,110.622222,0.79,3384.45
167,1,0,108.722222,0.93,2996.43
168,2,0,110.533333,0.77,3318.63
169,2,0,109.444444,0.83,2956.09
170,2,0,109.888889,0.83,3129.82
171,2,0,110.366667,0.78,3284.57
172,1,0,108.888889,0.89,2711.92
173,1,0,109.977778,0.84,3106.89
174,2,0,112.2,0.73,3756.87
175,2,0,113.961111,0.67,4150.08
176,2,0,114.944444,0.67,4442.39
177,2,0,116.183333,0.71,4925.88
178,1,0,116.366667,0.61,4690.36
179,1,0,117.372222,0.57,4854.84
180,1,0,117.672222,0.51,4749.94
181,1,0,117.722222,0.53,4826.47
182,1,0,116.238889,0.61,4653.74
183,2,0,114.066667,0.71,4281.61
184,1,0,113.955556,0.76,4372
185,1,0,112.288889,0.8,3937.36
186,1,0,110.022222,0.86,3318.16
187,1,0,109.377778,0.86,2984.32
188,1,0,109.416667,0.9,3184.72
189,1,0,109.216667,0.9,3017.5
190,1,0,108.683333,0.9,2854.97
191,2,0,109.188889,0.77,2597.49
192,1,0,108.594444,0.93,2814.17
193,1,0,107.505556,0.93,2578.46
194,1,0,106.216667,0.95,1806.85
195,4,0,105.855556,0.93,2011.62
196,0,0,105.933333,1,2112.27
197,0,0,110.405556,1,3704.38
198,1,0,112.544444,0.78,3974.58
199,1,0,113.861111,0.77,4367.08
200,1,0,115.977778,0.63,4635.79
201,1,0,117.266667,0.57,4825.34
202,1,0,117.844444,0.5,4764.47
203,1,0,116.427778,0.54,4503.18
204,1,0,117.777778,0.46,4620.09
205,1,0,117.844444,0.45,4605.65
206,1,0,117.3,0.5,4619.1
207,1,0,115.183333,0.65,4459.34
208,2,0,113.005556,0.7,3935.48
209,2,0,112.694444,0.74,3931.72
210,1,0,112.194444,0.72,3733.45
211,1,0,112.083333,0.71,3677.93
212,1,0,110.616667,0.74,3288.19
213,1,0,109.533333,0.76,2852.59
214,2,0,109.972222,0.71,2730.12
215,1,0,104.911111,0.91,1669.68
216,1,0,107.916667,0.78,2181.8
217,1,0,107.383333,0.82,1966.26
218,2,0,107.972222,0.82,2246.12
219,3,0,108.816667,0.84,2514.63
