1,2,3,4,5
1,0,112.55,0.62,0.361892
1,0,112.383333,0.69,0.372515
1,0,110.227778,0.75,0.318595
1,0,109.227778,0.78,0.26993
0,0,107.827778,0.87,0.240491
0,0,106.677778,0.91,0.210882
0,0,106.122222,0.91,0.188028
1,0,105.327778,0.95,0.164487
0,0,104.355556,0.95,0.105191
2,0,109.272222,0.89,0.311936
1,0,104.261111,0.92,0.121799
1,0,103.216667,0.92,0.083446
1,0,103.905556,0.92,0.109743
4,0,102.711111,0.96,0.05553
4,0,103.816667,1,0.115008
0,0,106.883333,0.93,0.205933
2,0,108.938889,0.88,0.258881
2,0,111.205556,0.79,0.357031
2,0,112.85,0.7,0.388841
2,0,113.961111,0.63,0.405068
2,0,114.977778,0.51,0.402573
3,0,114.027778,0.57,0.39202
2,0,115.022222,0.51,0.403767
2,0,115.044444,0.54,0.412398
3,0,115.088889,0.5,0.402873
3,0,114.95,0.51,0.401826
3,0,113.816667,0.59,0.391039
3,0,112.916667,0.64,0.377063
3,0,113.838889,0.59,0.391668
3,0,112.755556,0.69,0.383713
3,0,112.65,0.74,0.391796
3,0,111.688889,0.8,0.374512
3,0,110.627778,0.88,0.355648
3,0,105.666667,0.91,0.160168
3,0,110.05,0.92,0.343469
3,0,109.977778,0.93,0.342777
3,0,109.777778,0.95,0.332445
3,0,108.661111,0.99,0.306794
3,0,107.55,0.95,0.204982
3,0,107.233333,0.93,0.204693
3,0,106.044444,0.92,0.137653
3,0,106.094444,0.85,0.137117
3,0,106.116667,0.82,0.135523
3,0,106.066667,0.86,0.145215
3,0,106.038889,0.93,0.150299
3,0,106.888889,0.93,0.173392
3,0,107.061111,0.86,0.185589
3,0,106.038889,0.93,0.144001
3,0,106.072222,0.93,0.143905
3,0,105.044444,0.93,0.10478
3,0,105.022222,0.92,0.119046
3,0,105.033333,0.93,0.117662
3,0,105,0.93,0.127778
3,0,104.977778,0.93,0.117758
3,0,104.933333,0.87,0.107717
3,0,104.466667,0.92,0.098161
3,0,104.444444,0.92,0.096357
0,0,104.011111,0.83,0.08234
3,0,104.905556,0.86,0.111739
3,0,104.883333,0.83,0.117809
3,0,104.388889,0.89,0.095319
3,0,104.838889,0.86,0.101439
3,0,104.811111,0.83,0.102518
2,0,104.944444,0.84,0.101349
2,0,107.2,0.65,0.16692
1,0,107.777778,0.67,0.190246
2,0,108.727778,0.64,0.224454
2,0,108.983333,0.57,0.210138
1,0,110,0.5,0.228285
2,0,110.094444,0.55,0.278506
1,0,111.061111,0.46,0.287456
1,0,110.138889,0.42,0.256271
1,0,111.011111,0.42,0.278317
1,0,110.116667,0.49,0.268314
1,0,107.916667,0.57,0.221239
1,0,107.333333,0.63,0.212769
1,0,105.05,0.75,0.157308
0,0,103.933333,0.76,0.099553
1,0,104.094444,0.77,0.105195
1,0,103.8,0.82,0.098628
0,0,102.688889,0.85,0.041711
0,0,105.066667,0.81,0.14507
0,0,102.6,0.85,0.058634
1,0,101.583333,0.92,0.024303
1,0,102.155556,0.9,0.072901
0,0,100.955556,0.92,0.032657
0,0,100.955556,0.92,0.032657
0,0,105.594444,0.82,0.181238
0,0,109.822222,0.66,0.260022
0,0,111.072222,0.54,0.303512
1,0,111.055556,0.48,0.291248
1,0,112.244444,0.43,0.31167
1,0,112.85,0.41,0.322509
1,0,112.888889,0.38,0.316603
1,0,112.916667,0.4,0.321883
1,0,113.888889,0.46,0.360944
1,0,113.022222,0.48,0.343057
0,0,112.383333,0.49,0.328431
0,0,110.205556,0.57,0.285204
0,0,109.144444,0.62,0.24847
0,0,107.827778,0.68,0.208248
0,0,107.733333,0.65,0.211546
0,0,107.144444,0.69,0.199795
0,0,106.016667,0.74,0.167249
0,0,105.461111,0.76,0.149417
1,0,108.244444,0.72,0.217884
0,0,103.838889,0.82,0.097728
0,0,102.244444,0.91,0.076307
0,0,102.022222,0.93,0.038648
0,0,102.172222,0.92,0.022309
0,0,103.661111,0.89,0.076909
0,0,106.111111,0.79,0.155327
1,0,110.005556,0.66,0.295644
0,0,112.244444,0.52,0.331286
0,0,112.938889,0.5,0.345468
1,0,113.983333,0.5,0.373355
1,0,115.094444,0.44,0.386901
1,0,116.25,0.43,0.413628
2,0,117.266667,0.41,0.433359
2,0,117.288889,0.38,0.424684
3,0,117.388889,0.37,0.424045
2,0,117.288889,0.38,0.424684
1,0,115.088889,0.44,0.386758
1,0,111.711111,0.58,0.329363
1,0,111.161111,0.61,0.319855
1,0,110.027778,0.68,0.299871
1,0,110.138889,0.65,0.297779
1,0,110.422222,0.62,0.300535
1,0,109.911111,0.66,0.258217
2,0,111.183333,0.8,0.358314
1,0,107.155556,0.79,0.194358
1,0,106.111111,0.82,0.177008
1,0,106.788889,0.83,0.180152
2,0,107.261111,0.85,0.20444
